status_id,status_message,status_author,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
531752773523381_1767214209977225,"🇨🇦🇧🇷🇪🇺🇯🇵🇰🇷🇮🇳🇿🇦🇪🇸🇻🇪🇹🇴🇬🇧🇺🇸🇿🇼🇨🇴🇨🇿🇩🇴🇫🇮🇫🇷🇩🇪🇮🇩🇮🇪🇲🇳🇳🇿🇳🇬🇮🇹🇲🇾
IMAGINE THAT ALL PEOPLE ON EARTH will GIVE YOU 1 dollar AND YOU will BECOME a MILLIONAIRE! Whole World Every day - translation! Interested? Write! The recipe will send E-mail.More here how it works http://www.passive-income-learn-why-here-link.ru If you want to earn 100 USD daily - it is possible, if you need 1000 USD daily - there is also no problem with it... And if you have decided to become a millionaire, you will become a millionaire!",Svetlana Vorontsova,Partnership Fundraising: The Business of the 21st Century,link,http://www.passive-income-learn-why-here-link.ru/,2018-01-26 18:46:33,0,0,0,0,0,0,0,0,0,0
531752773523381_1767176869980959,,Hon Adedeji Sikiru,Natural Freshwater Pearl Jewelry Set w/Sterling Silver Chain,link,http://www.gotclicks1.com/xHw7Vvc5mbsZ,2018-01-26 17:49:24,0,0,0,0,0,0,0,0,0,0
531752773523381_1767169219981724,,Jonar Fabula,,status,,2018-01-26 17:35:54,0,0,0,0,0,0,0,0,0,0
531752773523381_1767148543317125,,David Smith,Let's Vagabond,photo,https://www.facebook.com/letsvagabond/photos/a.1272189826165142.1073741830.1159739964076796/1727198397330947/?type=3,2018-01-26 17:05:07,0,0,0,0,0,0,0,0,0,0
531752773523381_1767139313318048,"Per Week Earn Over $700 . ANYONE who knows how to use Facebook, Twitter and YouTube can do this work. Get Paid in Your Own Currency or in $USD.
For Details Visit: http://socialmediajjjobs.blogspot.com/

5a6ba283373b7",Lopa Lota,,status,,2018-01-26 16:49:55,0,0,0,0,0,0,0,0,0,0
531752773523381_1767127816652531,,William James Dutton,Web Fitness Club,video,https://www.facebook.com/webfitnessclub/videos/1356296991129872/,2018-01-26 16:30:14,0,0,0,0,0,0,0,0,0,0
531752773523381_1767083016657011,It's not the ends but the means that give your life significance.,Edwin Cabrera,,photo,https://www.facebook.com/photo.php?fbid=10215144625113092&set=gm.1767083016657011&type=3,2018-01-26 15:20:52,0,0,0,0,0,0,0,0,0,0
531752773523381_1767049519993694,"EARN 1,000 ACTION
JUST FOR SIGNING UP!
 

The Action Coin Platform represents over 200,000 Action collectors and customers from more than 200 countries and territories. It is the basis of an incentive-driven rewards program with “points” that are rewarded in the form of a decentralized, blockchain-based digital asset known as Action (“ACTN”). Action may be redeemed for member-only discounts on a growing list of products and services offered through our business network.",Dariusz Bicz,Action Coin – ACTN,link,https://actioncoin.io/ref/357835/,2018-01-26 14:32:19,0,0,0,0,0,0,0,0,0,0
531752773523381_1767046699993976,"If I invite you to a Secret Pre-Launch Group for a Unique, RISK FREE Ad-Share Platform, gave you one of only 500 FREE VIP places, gave you a FREE Founder Pack worth $200, Gave you a Free Lifetime Membership, gave you a Lifetime 20% discount on Their Ad Packs and also a top level position, would you promise to recruit 2 active Paying members when it goes live? at $35 each within 3 Months? This is not a standard Ad-Share Model, they do not rely on new sales to pay daily revenue share, YOU WON'T HAVE SEEN ANYTHING LIKE THIS BEFORE! If you send me a pm with comment “Secret“ and send me a friend request then I will add you to the Secret Group.  undefined",Patrick Deruytter,,status,,2018-01-26 14:28:42,0,0,0,0,0,0,0,0,0,0
531752773523381_1767045663327413,https://paywall.top?mref=rahos,Rachid Hosni,PayWall - The Easiest Way to Earn Money on Internet,link,https://paywall.top/?mref=rahos,2018-01-26 14:27:02,1,0,0,1,0,0,0,0,0,0
